0,This video is a must see...makes you wonder ‘WHAT WAS Fauci thinking?’🤦‍♀️
1,@ChrisBEsq @real_defender @realDonaldTrump I wonder why they won't fund anymore Covid19 testing? https://t.co/T6J9JMTL0s
2,"Yvonne Musyimi first saw Jesus Christ at the age of 5, explains where Coronavirus came from and why we should pray for a cure and not a vaccine. Join Leah Ngari for more on this tonight on Saturday Confessions at 9p.m.
#TV47KE #TheHomeOfUntoldStories #SaturdayConfessions https://t.co/fPs6qSBOAq"
3,Is corona still out there ?
4,"#Titans are so grateful for how everyone is cooperating well on plans to protect families from #COVID19! without the politics!
#HappyEaster to everyone!! #StayHome 
#lockdown 
#LockdownHouseParty 
#TachaHasNever https://t.co/ip0VVvQM0J"
5,"It has taken this long for Priti Patel to front the #DailyBriefing because she had to undergo intensive training in how not to smirk while announcing death tolls.
#pritipatel #coronavirus https://t.co/lO7I9oFHOT"
6,Office of Director of National Intelligence says CNN coronavirus report 'contains inaccurate information' https://t.co/xgP3iDv9ud
7,U.S. coronavirus deaths highest in world exceeding Italy - Reuters tally https://t.co/dq418pOw5E https://t.co/JHBW1cI4qJ
8,@NoContextHearn the first line at the corona after party
9,I miss how my life was supposed to be before Corona.
10,"We talked to a doctor about what hospitals in the throes of the coronavirus epidemic could learn from far less developed hospital systems in times of crisis and came away with three main points.

https://t.co/ERNNOT8Roc"
11,"Delhi police continues to hound Muslim Activists .Safoora zargar who actively led Anti-CAA protests in Jamia University was arrested by Delhi Police after she was called for questioning yesterday.
Delhi police is completely misusing the lockdown period to curb muslim voices ."
12,"The failure to get adequate supplies of personal protective equipment (PPE) to frontline health workers is a “shocking indictment” of the government’s response to the coronavirus outbreak, doctors’ leaders have said.
#ToryShambles
https://t.co/8wje61ZJef"
13,"Public health experts have advised people to wear masks to slow the spread of the coronavirus. But if you don't have one handy, watch how to make your own out of an old T-shirt.

Read more of what you need to know about masks. https://t.co/VE7rXYKNc6 https://t.co/G0JvdJ0Zni"
14,@PunjabPoliceCPO @ImranRiazKhan But Federal Govt not taking it seriously by announcing to ease in the lockdown after April 14. Pls someone tell Imran Khan that saving lives are far better than anything. We don’t have time for experiments.
15,Raw intense and stylish brother 👌👌👌👍👍 Looking ur best 👏👏👏 best wishes to the team #Mohandas 🤗🤗 @TheVishnuVishal
16,"Looking for something to watch during this long weekend lockdown?

For the latest edition of Black Light, I've put together a list of 12 Canadian movies by Black filmmakers that you can stream right now for my favourite price: FREE.

https://t.co/dhIePJe2a8 https://t.co/KPj269WAwx"
17,"“I refuse to celebrate a drop in emissions driven by tens of millions of people losing their jobs. We need systemic change in our energy infrastructure, or emissions will roar back later.”

#SystemChange #ActNow
https://t.co/PoAD7QEhwJ"
18,"Another police-state tyrant masquerading as a Governor. How did Kentucky elect this zero?
👇🏻👇🏻👇🏻
Kentucky to record churchgoers' license plates amid coronavirus https://t.co/bA2QSBuGC1"
19,@holwainwright @Jwainwright29 @Alfie_pascall I’d sell jack and still sit in lockdown
20,"I'm sorry, but it is not enough to apologise for how people ""feel"". 

19 NHS workers and at least 2 prison staff have lost their lives because of #COVID19.

Brave workers on the frontline of this crisis need the protective equipment they have been promised."
21,"This is an abdication of responsibility. Federal government has an important role to play in a health crisis - surging resources to affected areas, providing technical assistance, coordinating unified strategy, and communicating accurate information."
22,Ion know... Is Corona even for real?
23,"God can execute His agenda in two ways. 
He can send an authorised agency or depending on the gravity of the agenda He can come down Himself.
JEHOVAH YAHWEH came down in Kisumu Dec 22 2019 Now see what Coronavirus has done globally.Death,Deaths and deaths
#NeedForGlobalRepentance"
24,"8% of Italians tested for Coronavirus in 24 hours tested positive. That same figure was 40% for the UK, though just 14% for Northern Ireland. Italy’s was once much higher than it has been of late but England’s in particular has been persistently high even when testing increased."
25,"Coronavirus Risk May Increase When Smoking Marijuana, Experts Say #Topbuzz https://t.co/qVeNeA0Pg7"
26,"Priti Patel’s disastrous press conference showed that the government is now leaderless - no grip, no plan, no hope. We can’t carry on like this  https://t.co/KNqbXgkF3a"
27,"Nurses hold #newborn babies wearing protective face shields during the #coronavirus disease (COVID-19) #outbreak at the #Praram 9 #hospital in #Bangkok, Thailand, April 9, 2020. REUTERS/Athit Perawongmetha https://t.co/uWX6Dc8Y8H"
28,I appraised them of the situation and said we will extend the lockdown beyond the 14th as precautions are needed in Mumbai and Pune. We know the seriousness of the situation and we will do what needs to be done.
29,Even if they die in a car accident it's the Corona virus that killed them
30,"We have to fight the virus, but we also have to fight autocratic tendencies: https://t.co/n99IrnEysw"
31,"@WhiteHouse @realDonaldTrump Where was Trump in January &amp; February &amp; early March while experts sounded the alarm about #coronavirus?

Golfing &amp; holding political rallies, of course. 👇

Please spread this video about #TrumpsCOVIDfails from @ProjectLincoln:

https://t.co/i3SfdDyfaU"
32,Sir i would be grateful if you help us students who are stranded outside our state instead.
33,"A priceless video of lockdown from Kerala. Police approaches a StreetDweller with food. He tells to go back, makes a circle, points to ground, covers his nose &amp; then takes food, displaying more awareness of social distancing than Educated folks
Video:Perambra PS Circle,Calicut https://t.co/gsfmitDwuD"
34,I wonder how Cheltenham Festival attendees feel about being part of the Tory herd immunity plan?
35,"Reported US coronavirus deaths via @CNN:

4 weeks ago: 49 deaths
3 weeks ago: 249 deaths
2 weeks ago: 1,588 deaths
1 week ago: 7,152 deaths
Right now: 18,693 deaths"
36,"Modi ji, lockdown extend kar rahe ho toh liquor ko essential items ki list me daal do."
37,"My beautiful mum passed away last night; coronavirus was too much for her. She self isolated from the start, shopping once. Her symptoms: lack of taste &amp; extreme fatigue. The pain of losing someone, not tell them that you love them is overwhelming and devastating. Stay in. https://t.co/lnJkv55ymp"
38,"Applications to the Canada Emergency Response Benefit are now open.  Fridays, Saturdays and Sundays are for everyone to apply!

Find out more at https://t.co/WeImWFzm1p  #COVID19 #CERB #CdnTax https://t.co/Cr3G6AIigE"
39,Should I tag @melindagates? Because we seem to be managing a lot better - way above expectations.
40,"Admin officials ""say the White House has made a deliberate political calculation that it will better serve Trump’s interest to put the onus on governors — rather than the federal government — to figure out how to move ahead.""

Let that quote sink in... https://t.co/v2QVZBXslD"
